Track Name,Artist,Album,Popularity,Duration (minutes),Explicit,Release Date,Markets Count
"Agar Tum Saath Ho (From ""Tamasha"")",A.R. Rahman,A.R. Rahman All Time Favourites,55,5.68,False,2022-06-16,185
Ye Tune Kya Kiya,Pritam,Once Upon Ay Time In Mumbai Dobaara !,83,5.24,False,2013-07-22,185
Ishq Hai,Anurag Saikia,Mismatched: Season 3 (Soundtrack from the Netflix Series),83,5.21,False,2024-12-03,183
Apna Bana Le,Sachin-Jigar,Bhediya (Original Motion Picture Soundtrack),80,4.36,False,2022-12-06,183
"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Sachin-Jigar,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",81,4.4,False,2024-02-02,185
Raja Raja Chozhan,Ilaiyaraaja,Rettai Vaal Kuruvi (Original Motion Picture Soundtrack),60,4.58,False,1987-01-01,185
Husn,Anuv Jain,Husn,81,3.63,False,2023-12-01,183
Munbe Vaa,Naresh Iyer,Sillunu Oru Kadhal (Original Motion Picture Soundtrack),71,5.95,False,2006-08-03,1
Jeene Laga Hoon,Atif Aslam,Ramaiya Vastavaiya (Original Motion Picture Soundtrack),79,3.95,False,2013-07-19,185
"Raanjhan (From ""Do Patti"")",Sachet-Parampara,"Raanjhan (From ""Do Patti"")",87,4.0,False,2024-10-04,185
Snehidhane,Sadhana Sargam,Alaipayuthey,59,4.9,False,2000-12-31,1
Newyork Nagaram,A.R. Rahman,Sillunu Oru Kadhal (Original Motion Picture Soundtrack),66,6.3,False,2006-08-03,1
"Agar Tum Saath Ho (From ""Tamasha"")",A.R. Rahman,A.R. Rahman All Time Favourites,55,5.68,False,2022-06-16,185
Mann Mera,Gajendra Verma,Table No. 21 (Original Motion Picture Soundtrack),80,3.34,False,2012-12-21,185
Tu Jaane Na - Unplugged Version,Kailash Kher,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),53,5.72,False,2009-11-06,185
